	start_time	end_time	dayOfWeek	size
0	8.0	9.333333333333334	MW     	13
1	8.0	9.333333333333334	MW     	12
2	8.0	9.333333333333334	TuTh     	14
3	9.5	10.833333333333334	MW     	14
4	9.5	10.833333333333334	MW     	14
5	9.5	10.833333333333334	MW     	13
6	9.5	10.833333333333334	TuTh     	14
7	9.5	10.833333333333334	TuTh     	13
8	11.0	12.333333333333334	MW     	13
9	11.0	12.333333333333334	MW     	14
10	11.0	12.333333333333334	MW     	14
11	12.5	13.833333333333334	TuTh     	13
12	12.5	13.833333333333334	TuTh     	13
13	14.0	15.333333333333334	MW     	14
14	14.0	15.333333333333334	TuTh     	13
15	14.0	15.333333333333334	TuTh     	14
16	15.5	16.833333333333332	MW     	11
17	15.5	16.833333333333332	MW     	14
18	15.5	16.833333333333332	MW     	14
19	14.0	15.333333333333334	MW     	13
20	12.5	13.833333333333334	TuTh     	14
21	9.5	10.833333333333334	MW     	16
22	14.0	15.333333333333334	MW     	17
23	11.0	11.833333333333334	MW     	5
24	14.0	15.333333333333334	TuTh     	48
25	8.0	8.833333333333334	MWF    	20
26	15.5	16.833333333333332	TuTh     	19
27	9.5	10.833333333333334	TuTh     	18
28	12.0	12.833333333333334	M      	36
29	13.0	13.833333333333334	M      	37
30	14.0	14.833333333333334	W      	34
31	15.0	15.833333333333334	W      	33
32	16.0	16.833333333333332	W      	36
33	15.0	15.833333333333334	M      	35
34	10.0	10.833333333333334	M      	40
35	11.0	11.833333333333334	M      	33
36	12.0	12.833333333333334	M      	41
37	13.0	13.833333333333334	M      	32
38	15.0	15.833333333333334	W      	39
39	16.0	16.833333333333332	W      	38
40	18.0	18.833333333333332	W      	39
41	16.0	16.833333333333332	Th      	16
42	12.0	12.833333333333334	M      	18
43	12.0	12.833333333333334	M      	35
44	15.0	15.833333333333334	W      	39
45	9.0	9.833333333333334	F      	35
46	10.0	10.833333333333334	W      	24
47	10.0	12.833333333333334	W      	9
48	16.0	16.833333333333332	MWF    	24
49	13.0	13.833333333333334	MWF    	38
50	10.0	10.833333333333334	MWF    	25
51	12.5	13.833333333333334	TuTh     	81
52	11.0	12.333333333333334	TuTh     	19
53	12.5	13.833333333333334	TuTh     	10
54	9.5	10.833333333333334	W      	24
55	9.0	9.833333333333334	M      	28
56	9.0	9.833333333333334	W      	18
57	9.0	9.833333333333334	F      	14
58	9.0	9.833333333333334	Tu      	25
59	15.0	15.833333333333334	M      	21
60	15.0	15.833333333333334	W      	13
61	13.0	13.833333333333334	F      	13
62	13.0	13.833333333333334	Th      	14
63	14.0	14.833333333333334	M      	21
64	14.0	15.333333333333334	TuTh     	19
65	14.0	15.333333333333334	TuTh     	33
66	15.5	16.833333333333332	TuTh     	18
67	12.0	12.833333333333334	W      	17
68	12.0	12.833333333333334	M      	4
69	9.0	9.833333333333334	M      	26
70	11.0	11.833333333333334	M      	35
71	14.0	17.333333333333332	WF     	29
72	12.5	13.833333333333334	TuTh     	63
73	15.5	16.833333333333332	TuTh     	82
74	13.0	13.833333333333334	W      	130
75	14.0	15.333333333333334	M      	0
76	12.0	12.833333333333334	M      	26
77	13.0	13.833333333333334	M      	28
78	14.0	14.833333333333334	M      	25
79	15.0	15.833333333333334	Tu      	19
80	16.0	16.833333333333332	Tu      	12
81	17.0	17.833333333333332	Tu      	16
82	14.0	14.833333333333334	W      	26
83	15.0	15.833333333333334	W      	22
84	16.0	16.833333333333332	W      	23
85	9.0	9.833333333333334	F      	13
86	10.0	10.833333333333334	F      	26
87	9.0	9.833333333333334	W      	12
88	10.0	10.833333333333334	W      	29
89	10.0	10.833333333333334	F      	13
90	11.0	11.833333333333334	F      	24
91	14.0	14.833333333333334	M      	26
92	15.0	15.833333333333334	M      	31
93	16.0	16.833333333333332	M      	24
94	18.0	18.833333333333332	W      	27
95	19.0	19.833333333333332	W      	23
96	13.0	13.833333333333334	F      	27
97	17.0	17.833333333333332	W      	32
98	18.0	18.833333333333332	W      	30
99	16.0	16.833333333333332	F      	31
100	8.0	8.833333333333334	M      	29
101	9.0	9.833333333333334	M      	29
102	10.0	10.833333333333334	M      	31
103	11.0	11.833333333333334	M      	31
104	20.0	20.833333333333332	W      	31
105	21.0	21.833333333333332	W      	28
106	14.0	14.833333333333334	F      	30
107	15.0	15.833333333333334	F      	30
108	16.0	16.833333333333332	F      	27
109	17.0	17.833333333333332	F      	25
110	17.0	17.833333333333332	Tu      	33
111	18.0	18.833333333333332	Tu      	30
112	9.0	9.833333333333334	M      	30
113	9.0	9.833333333333334	W      	31
114	10.0	10.833333333333334	M      	32
115	8.0	8.833333333333334	W      	28
116	21.0	21.833333333333332	W      	31
117	17.0	17.833333333333332	Tu      	29
118	18.0	18.833333333333332	Tu      	30
119	19.0	19.833333333333332	Tu      	28
120	20.0	20.833333333333332	Tu      	25
121	17.0	17.833333333333332	Th      	28
122	18.0	18.833333333333332	Th      	26
123	19.0	19.833333333333332	Th      	13
124	20.0	20.833333333333332	Th      	14
125	11.0	11.833333333333334	M      	24
126	12.0	12.833333333333334	M      	26
127	18.0	18.833333333333332	W      	28
128	19.0	19.833333333333332	W      	18
129	9.0	9.833333333333334	F      	18
130	10.0	10.833333333333334	F      	26
131	17.0	17.833333333333332	Th      	30
132	18.0	18.833333333333332	Th      	18
133	19.0	19.833333333333332	Th      	29
134	13.0	13.833333333333334	W      	26
135	17.0	17.833333333333332	Tu      	19
136	18.0	18.833333333333332	Tu      	2
137	19.0	19.833333333333332	Tu      	15
138	9.0	9.833333333333334	M      	14
139	14.0	14.833333333333334	W      	14
140	17.0	17.833333333333332	Th      	7
141	12.0	12.833333333333334	W      	22
142	14.0	14.833333333333334	M      	21
143	10.0	11.333333333333334	W      	24
144	16.0	16.833333333333332	M      	29
145	17.0	17.833333333333332	M      	29
146	18.0	18.833333333333332	M      	30
147	19.0	19.833333333333332	M      	30
148	20.0	20.833333333333332	M      	24
149	16.0	16.833333333333332	W      	31
150	17.0	17.833333333333332	W      	29
151	18.0	18.833333333333332	W      	30
152	19.0	19.833333333333332	W      	31
153	14.0	14.833333333333334	F      	30
154	15.0	15.833333333333334	F      	29
155	16.0	16.833333333333332	F      	25
156	13.0	13.833333333333334	M      	30
157	14.0	14.833333333333334	M      	29
158	15.0	15.833333333333334	M      	29
159	16.0	16.833333333333332	M      	29
