Time_Stamp,Present_Signals
2017-09-28 11:51:00,355
2017-09-28 11:52:00,355
2017-09-28 11:53:00,348
2017-09-28 11:54:00,375
2017-09-28 13:20:00,318
2017-09-28 13:40:00,352
2017-09-28 13:41:00,339
2017-09-28 13:45:00,300
2017-09-28 13:46:00,299
2017-09-28 13:47:00,288
2017-09-28 13:48:00,281
2017-09-28 13:49:00,276
2017-09-28 13:50:00,267
2017-09-28 13:51:00,270
2017-09-28 13:52:00,254
2017-09-28 13:53:00,258
2017-09-28 13:54:00,292
2017-09-28 13:55:00,290
2017-09-28 13:56:00,285
2017-09-28 13:57:00,300
2017-09-28 13:58:00,291
2017-09-28 13:59:00,299
2017-09-28 14:00:00,311
2017-09-28 14:01:00,301
2017-09-28 14:02:00,301
2017-09-28 14:03:00,307
2017-09-28 14:04:00,303
2017-09-28 14:05:00,313
2017-09-28 14:06:00,325
2017-09-28 14:07:00,324
2017-09-28 14:08:00,326
2017-09-28 14:09:00,325
2017-09-28 14:10:00,338
2017-09-28 14:11:00,323
2017-09-28 14:12:00,323
2017-09-28 14:13:00,341
2017-09-28 14:14:00,319
2017-09-28 14:15:00,321
2017-09-28 14:16:00,329
2017-09-28 14:17:00,341
2017-09-28 14:18:00,338
2017-09-28 14:19:00,349
2017-09-28 14:20:00,359
2017-09-28 14:21:00,377
2017-09-28 14:22:00,350
2017-09-28 14:23:00,375
2017-09-28 14:24:00,351
2017-09-28 14:25:00,368
2017-09-28 14:26:00,385
2017-09-28 14:27:00,364
2017-09-28 14:28:00,385
2017-09-28 14:29:00,395
2017-09-28 14:30:00,396
2017-09-28 14:31:00,374
2017-09-28 14:32:00,361
2017-09-28 14:33:00,372
2017-09-28 14:34:00,373
2017-09-28 14:35:00,382
2017-09-28 14:36:00,369
2017-09-28 14:37:00,363
2017-09-28 14:38:00,377
2017-09-28 14:39:00,368
2017-09-28 14:40:00,370
2017-09-28 14:41:00,355
2017-09-28 14:42:00,351
2017-09-28 14:43:00,349
2017-09-28 14:44:00,373
2017-09-28 14:45:00,379
2017-09-28 14:46:00,358
2017-09-28 14:47:00,351
2017-09-28 14:48:00,354
2017-09-28 14:49:00,346
2017-09-28 14:50:00,325
2017-09-28 14:51:00,329
2017-09-28 14:52:00,339
2017-09-28 14:53:00,339
2017-09-28 14:54:00,341
2017-09-28 14:55:00,341
2017-09-28 14:56:00,331
2017-09-28 14:57:00,334
2017-09-28 14:58:00,337
2017-09-28 14:59:00,333
