,Time_Stamp,Number_of_People
0,1900-01-01 00:00:00,93.5
1,1900-01-01 00:05:00,150.5
2,1900-01-01 00:10:00,256.5
3,1900-01-01 00:15:00,246.0
4,1900-01-01 00:20:00,233.0
5,1900-01-01 00:25:00,123.0
6,1900-01-01 00:30:00,173.0
7,1900-01-01 00:35:00,264.0
8,1900-01-01 00:40:00,194.0
9,1900-01-01 00:45:00,138.5
10,1900-01-01 00:50:00,252.5
11,1900-01-01 00:55:00,237.0
12,1900-01-01 01:00:00,352.0
13,1900-01-01 01:05:00,439.5
14,1900-01-01 01:10:00,428.5
15,1900-01-01 01:15:00,219.5
16,1900-01-01 01:20:00,272.5
17,1900-01-01 01:25:00,294.0
18,1900-01-01 01:30:00,210.0
19,1900-01-01 01:35:00,223.5
20,1900-01-01 01:40:00,67.5
21,1900-01-01 01:45:00,123.5
22,1900-01-01 01:50:00,183.5
23,1900-01-01 01:55:00,208.0
24,1900-01-01 02:00:00,312.5
25,1900-01-01 02:05:00,286.0
26,1900-01-01 02:10:00,216.0
27,1900-01-01 02:15:00,217.5
28,1900-01-01 02:20:00,186.5
29,1900-01-01 02:25:00,163.0
30,1900-01-01 02:30:00,164.0
31,1900-01-01 02:35:00,71.5
32,1900-01-01 02:40:00,115.5
33,1900-01-01 02:45:00,134.5
34,1900-01-01 02:50:00,159.0
35,1900-01-01 02:55:00,274.0
36,1900-01-01 03:00:00,42.0
37,1900-01-01 03:05:00,14.5
38,1900-01-01 03:10:00,20.0
39,1900-01-01 03:15:00,24.5
40,1900-01-01 03:20:00,10.0
41,1900-01-01 03:25:00,4.0
42,1900-01-01 03:30:00,104.0
43,1900-01-01 03:35:00,165.5
44,1900-01-01 03:40:00,31.0
45,1900-01-01 03:45:00,28.0
46,1900-01-01 03:50:00,32.0
47,1900-01-01 03:55:00,105.0
48,1900-01-01 04:00:00,163.0
49,1900-01-01 04:05:00,118.5
50,1900-01-01 04:10:00,77.0
51,1900-01-01 04:15:00,55.0
52,1900-01-01 04:20:00,19.500000000000004
53,1900-01-01 04:25:00,44.5
54,1900-01-01 04:30:00,30.0
55,1900-01-01 04:35:00,66.5
