Day,Time (PST),Temp,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Conditions
1/11/2018,12:53 AM,   55.9 °F ,   51.1 °F ,84%,   30.13 in ,   10.0 mi ,NNE,   5.8 mph ,Clear
1/11/2018,1:53 AM,   55.0 °F ,   48.9 °F ,80%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/11/2018,2:53 AM,   55.0 °F ,   48.9 °F ,80%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/11/2018,3:53 AM,   54.0 °F ,   48.9 °F ,83%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/11/2018,4:53 AM,   52.0 °F ,   48.0 °F ,86%,   30.16 in ,   10.0 mi ,NE,   3.5 mph ,Clear
1/11/2018,5:53 AM,   53.1 °F ,   48.0 °F ,83%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/11/2018,6:53 AM,   53.1 °F ,   48.9 °F ,86%,   30.19 in ,   10.0 mi ,Calm,Calm,Clear
1/11/2018,7:53 AM,   55.9 °F ,   50.0 °F ,80%,   30.22 in ,   8.0 mi ,Calm,Calm,Clear
1/11/2018,8:53 AM,   60.1 °F ,   51.1 °F ,72%,   30.24 in ,   10.0 mi ,Calm,Calm,Clear
1/11/2018,9:53 AM,   64.0 °F ,   52.0 °F ,65%,   30.23 in ,   10.0 mi ,North,   5.8 mph ,Clear
1/11/2018,10:53 AM,   66.0 °F ,   51.1 °F ,59%,   30.22 in ,   10.0 mi ,Variable,   4.6 mph ,Clear
1/11/2018,11:53 AM,   69.1 °F ,   52.0 °F ,54%,   30.17 in ,   10.0 mi ,North,   5.8 mph ,Clear
1/11/2018,12:53 PM,   71.1 °F ,   52.0 °F ,51%,   30.14 in ,   10.0 mi ,NW,   5.8 mph ,Clear
1/11/2018,1:53 PM,   70.0 °F ,   52.0 °F ,53%,   30.13 in ,   10.0 mi ,NNW,   10.4 mph ,Clear
1/11/2018,2:53 PM,   71.1 °F ,   52.0 °F ,51%,   30.14 in ,   10.0 mi ,NW,   8.1 mph ,Clear
1/11/2018,3:53 PM,   70.0 °F ,   54.0 °F ,57%,   30.14 in ,   10.0 mi ,NW,   8.1 mph ,Clear
1/11/2018,4:53 PM,   64.9 °F ,   55.0 °F ,70%,   30.15 in ,   10.0 mi ,NNW,   10.4 mph ,Clear
1/11/2018,5:53 PM,   63.0 °F ,   55.0 °F ,75%,   30.16 in ,   10.0 mi ,NNW,   5.8 mph ,Clear
1/11/2018,6:53 PM,   62.1 °F ,   55.0 °F ,78%,   30.17 in ,   10.0 mi ,North,   3.5 mph ,Clear
1/11/2018,7:53 PM,   61.0 °F ,   54.0 °F ,78%,   30.18 in ,   9.0 mi ,Calm,Calm,Clear
1/11/2018,8:53 PM,   60.1 °F ,   54.0 °F ,80%,   30.19 in ,   9.0 mi ,Calm,Calm,Clear
1/11/2018,9:53 PM,   59.0 °F ,   53.1 °F ,81%,   30.21 in ,   9.0 mi ,Calm,Calm,Clear
1/11/2018,10:53 PM,   59.0 °F ,   53.1 °F ,81%,   30.21 in ,   9.0 mi ,Calm,Calm,Clear
1/11/2018,11:53 PM,   57.0 °F ,   52.0 °F ,83%,   30.19 in ,   8.0 mi ,Calm,Calm,Clear
1/12/2018,12:53 AM,   57.0 °F ,   52.0 °F ,83%,   30.18 in ,   5.0 mi ,Calm,Calm,Haze
1/12/2018,1:30 AM,   57.0 °F ,   53.1 °F ,87%,   30.19 in ,   4.0 mi ,NW,   4.6 mph ,Scattered Clouds
1/12/2018,1:34 AM,   57.0 °F ,   53.1 °F ,87%,   30.19 in ,   1.2 mi ,NW,   3.5 mph ,Mostly Cloudy
1/12/2018,1:38 AM,   57.0 °F ,   54.0 °F ,89%,   30.19 in ,   0.2 mi ,NW,   3.5 mph ,Fog
1/12/2018,1:53 AM,   57.0 °F ,   54.0 °F ,89%,   30.18 in ,   0.2 mi ,NNW,   5.8 mph ,Fog
1/12/2018,2:53 AM,   55.9 °F ,   53.1 °F ,90%,   30.17 in ,   0.2 mi ,NNW,   3.5 mph ,Fog
1/12/2018,3:10 AM,   55.9 °F ,   52.0 °F ,87%,   30.17 in ,   0.8 mi ,NNW,   3.5 mph ,Mist
1/12/2018,3:16 AM,   55.9 °F ,   52.0 °F ,87%,   30.17 in ,   2.0 mi ,Calm,Calm,Mostly Cloudy
1/12/2018,3:22 AM,   55.0 °F ,   52.0 °F ,89%,   30.17 in ,   4.0 mi ,Calm,Calm,Scattered Clouds
1/12/2018,3:33 AM,   55.0 °F ,   51.1 °F ,86%,   30.17 in ,   1.8 mi ,NW,   3.5 mph ,Partly Cloudy
1/12/2018,3:45 AM,   55.0 °F ,   52.0 °F ,89%,   30.17 in ,   0.8 mi ,NNW,   4.6 mph ,Mist
1/12/2018,3:53 AM,   54.0 °F ,   51.1 °F ,90%,   30.17 in ,   0.8 mi ,North,   3.5 mph ,Mist
1/12/2018,4:03 AM,   55.0 °F ,   51.1 °F ,86%,   30.17 in ,   1.5 mi ,Calm,Calm,Mostly Cloudy
